ANKET ﾹ,SLEEP HOURS ,DREAMS,PHASE,LD,FALSE ,PARALISYS,OBE,KNOW,AGE,SEX
424,6,sometimes,sometimes,sometimes,no,no,no,yes,22,m
193,6,sometimes,often,once,no,no,often,yes,22,m
657,6,often,often,sometimes,once,no,often,yes,22,m
302,8,often,often,sometimes,no,often,often,yes,22,m
184,8,often,sometimes,no,no,no,sometimes,yes,22,m
194,10,sometimes,sometimes,no,no,no,sometimes,yes,22,m
492,8,often,sometimes,once,once,no,sometimes,yes,22,m
927,4,often,sometimes,sometimes,once,no,sometimes,yes,22,m
140,6,sometimes,often,sometimes,sometimes,no,sometimes,yes,22,m
723,8,no,once,no,no,once,no,no,21,m
128,5,often,often,sometimes,no,no,often,no,21,m
928,3,sometimes,often,sometimes,sometimes,no,sometimes,no,21,m
777,9,often,often,often,often,no,no,yes,21,m
112,5,sometimes,often,sometimes,often,no,no,yes,21,m
292,8,sometimes,sometimes,sometimes,sometimes,once,no,yes,21,m
136,6,often,often,often,often,no,often,yes,21,m
519,8,often,often,sometimes,sometimes,once,often,yes,21,m
